云商通订单号|订单类型|交易金额(单位:分)|手续费金额(单位:分)|交易时间|商户订单编号|渠道金额|渠道流水号|渠道手续费(单位:分)|云商通手续费(单位:分)|分期金额(单位:分)|持卡人手续费(单位:分)|扩展参数|预付卡是否结算|预付卡交易金额(单位:分)|支付方式|原商户订单号|原云商通订单号|渠道交易类型|卡号|卡类别|渠道交易商户号|渠道配置商户号|
1410633131651768320|消费|53940|0|2021-07-02 00:15:27|21070256121256098|53940|122104500001035472|216|0|0|0|||||||微信支付|o2mUlw****IUf4|-|||
1410634661775806464|消费|258000|0|2021-07-02 00:21:31|21070256486250591|258000|122104500001035474|1032|0|0|0|||||||微信支付|o2mUlw****opZE|-|||
1410648186791411712|消费|49540|0|2021-07-02 01:15:17|21070259710253278|49540|122104500001035477|198|0|0|0|||||||微信支付|o2mUlw****CuAM|信用卡|||
1410659641288826880|平台转账|10716008|0|2021-07-02 02:00:42|48d34784-7eff-44a9-ad7a-2cb86ddbf8ae|0||0|0|0|0||||||||||||
1410659643029471232|平台转账|4783549|0|2021-07-02 02:00:42|2b533844-011e-45fb-a2c0-86366bc38339|0||0|0|0|0||||||||||||
1410659644665237504|平台转账|8012046|0|2021-07-02 02:00:42|f70ceedb-e61d-4ca0-8e3e-781ce8145a03|0||0|0|0|0||||||||||||
1410659646087110656|平台转账|5094423|0|2021-07-02 02:00:43|32ffb71c-9925-4e03-8ea9-81c0720a2b1a|0||0|0|0|0||||||||||||
1410659647739666432|平台转账|10562676|0|2021-07-02 02:00:43|b85b841b-c499-44b5-b505-06bc618f07e2|0||0|0|0|0||||||||||||
1410659649148960768|平台转账|6866054|0|2021-07-02 02:00:43|01dcce08-1503-4f61-a69b-30124c528982|0||0|0|0|0||||||||||||
1410659650872819712|平台转账|17763774|0|2021-07-02 02:00:44|f4a8d9ae-5b3a-40cd-b6c0-7db75102a4ac|0||0|0|0|0||||||||||||
1410659652307263488|平台转账|6100405|0|2021-07-02 02:00:44|ddd564c6-b73e-4b01-873a-252c504fd696|0||0|0|0|0||||||||||||
1410659653875941376|平台转账|3368480|0|2021-07-02 02:00:45|72fe02b6-dffd-4136-b1b9-c49e3a953390|0||0|0|0|0||||||||||||
1410659655494930432|平台转账|65282|0|2021-07-02 02:00:45|ef128076-5f25-448d-8e42-b729e270f7c9|0||0|0|0|0||||||||||||
1410659657067806720|平台转账|3677198|0|2021-07-02 02:00:45|f8425dcc-5a8d-40e6-9f45-25cf5c955436|0||0|0|0|0||||||||||||
1410659658716164096|平台转账|147607|0|2021-07-02 02:00:46|261b0ae4-4b6b-4ee0-a710-753cf1be33dc|0||0|0|0|0||||||||||||
1410659660406472704|平台转账|52464|0|2021-07-02 02:00:46|09da35aa-10db-4a27-86ce-43692d753c7c|0||0|0|0|0||||||||||||
1410659662172262400|平台转账|10881|0|2021-07-02 02:00:47|4e513d72-c779-4cda-9135-2e011249c450|0||0|0|0|0||||||||||||
1410659663770300416|平台转账|141930|0|2021-07-02 02:00:47|6e4d9d31-9feb-4962-b929-2db214781153|0||0|0|0|0||||||||||||
1410659665531904000|平台转账|9994176|0|2021-07-02 02:00:47|a8cf5f31-898c-49b6-a970-5e0962282824|0||0|0|0|0||||||||||||
1410659666836328448|平台转账|13645|0|2021-07-02 02:00:48|d74eeffa-0d26-4001-bdab-65501da620ef|0||0|0|0|0||||||||||||
1410659668551806976|平台转账|86899|0|2021-07-02 02:00:48|ddaaf972-9108-4e47-8c0c-568524526e81|0||0|0|0|0||||||||||||
1410659670082727936|平台转账|3985890|0|2021-07-02 02:00:48|c5e6a034-fcec-4dd6-bf27-a43b845fe335|0||0|0|0|0||||||||||||
1410659671525560320|平台转账|9104806|0|2021-07-02 02:00:49|e0010484-b493-45e7-a990-9e69bfb586f0|0||0|0|0|0||||||||||||
1410659673111019520|平台转账|114878|0|2021-07-02 02:00:49|b1272bf8-93e0-4973-89d3-41a5cef849ca|0||0|0|0|0||||||||||||
1410704942066319360|消费|46600|0|2021-07-02 05:00:53|21070273242258200|46600|122104500001035478|186|0|0|0|||||||微信支付|o2mUlw****0w3E|信用卡|||
1410714158193713152|消费|53940|0|2021-07-02 05:37:26|21070275439259508|53940|122104500001035479|216|0|0|0|||||||微信支付|o2mUlw****getw|-|||
1410730458349584384|消费|3990|0|2021-07-02 06:42:16|21070279325253129|3990|122104500001035480|16|0|0|0|||||||微信支付|o2mUlw****lqqI|-|||
1410734595036426240|消费|84000|0|2021-07-02 06:58:38|21070280312254688|84000|122104500001035481|336|0|0|0|||||||微信支付|o2mUlw****qfKM|-|||
1410734961194962944|消费|161820|0|2021-07-02 07:00:11|21070280399254994|161820|122104500001035482|647|0|0|0|||||||微信支付|o2mUlw****5aI4|-|||
1410735288212271104|消费|53940|0|2021-07-02 07:01:27|21070280477259627|53940|122104500001035483|216|0|0|0|||||||微信支付|o2mUlw****bQoY|-|||
1410735355744755712|消费|53940|0|2021-07-02 07:01:41|21070280493255658|53940|122104500001035484|216|0|0|0|||||||微信支付|o2mUlw****4Mh0|-|||
1410735711648235520|消费|9952|0|2021-07-02 07:03:07|21070280578252206|9952|122104500001035485|40|0|0|0|||||||微信支付|o2mUlw****mVXI|-|||
1410737775937863680|消费|21540|0|2021-07-02 07:11:15|21070281070255697|21540|122104500001035487|86|0|0|0|||||||微信支付|o2mUlw****9IDs|-|||
1410738045916819456|消费|41200|0|2021-07-02 07:12:24|21070281134254190|41200|122104500001035488|165|0|0|0|||||||微信支付|o2mUlw****2nbs|-|||
1410739138545594368|消费|368000|0|2021-07-02 07:16:45|21070281395256060|368000|122104500001035490|1472|0|0|0|||||||微信支付|o2mUlw****53Z4|-|||
1410739526388695040|消费|26000|0|2021-07-02 07:18:15|21070281487250290|26000|122104500001035491|104|0|0|0|||||||微信支付|o2mUlw****fqe4|-|||
1410740310052450304|消费|59600|0|2021-07-02 07:21:22|21070281674250723|59600|122104500001035493|238|0|0|0|||||||微信支付|o2mUlw****2DZc|-|||
1410740624277123072|消费|253000|0|2021-07-02 07:22:39|21070281749256575|253000|122104500001035494|1012|0|0|0|||||||微信支付|o2mUlw****-G90|-|||
1410740739586932736|消费|107880|0|2021-07-02 07:23:04|21070281777252801|107880|122104500001035495|432|0|0|0|||||||微信支付|o2mUlw****wokw|-|||
1410741157356376064|消费|104000|0|2021-07-02 07:24:53|21070281876254876|104000|122104500001035497|416|0|0|0|||||||微信支付|o2mUlw****3HWc|信用卡|||
1410741107293163520|消费|258000|0|2021-07-02 07:25:00|21070281864254662|258000|122104500001035496|1032|0|0|0|||||||微信支付|o2mUlw****PpY0|信用卡|||
1410741389393670144|消费|10300|0|2021-07-02 07:25:38|21070281931251028|10300|122104500001035498|41|0|0|0|||||||微信支付|o2mUlw****4TG4|-|||
1410741853564710912|消费|161820|0|2021-07-02 07:27:29|21070282042254404|161820|122104500001035500|647|0|0|0|||||||微信支付|o2mUlw****ePZA|-|||
1410742093596340224|消费|35000|0|2021-07-02 07:28:28|21070282099258398|35000|122104500001035501|140|0|0|0|||||||微信支付|o2mUlw****nvs0|-|||
1410742888169480192|消费|129000|0|2021-07-02 07:31:35|21070282289256177|129000|122104500001035503|516|0|0|0|||||||微信支付|o2mUlw****mOW4|-|||
1410743781866606592|消费|12200|0|2021-07-02 07:35:08|21070282502254287|12200|122104500001035506|49|0|0|0|||||||微信支付|o2mUlw****Wi8Q|-|||
1410745073573838848|消费|116800|0|2021-07-02 07:40:22|21070282810250992|116800|122104500001035507|467|0|0|0|||||||微信支付|o2mUlw****e7HA|信用卡|||
1410745144503701504|消费|41000|0|2021-07-02 07:40:36|21070282827255896|41000|122104500001035508|164|0|0|0|||||||微信支付|o2mUlw****_0xQ|-|||
1410745175197626368|消费|161820|0|2021-07-02 07:40:40|21070282834258987|161820|122104500001035509|647|0|0|0|||||||微信支付|o2mUlw****d8k8|-|||
1410745798668337152|消费|49540|0|2021-07-02 07:43:09|21070282983259319|49540|122104500001035510|198|0|0|0|||||||微信支付|o2mUlw****lJmg|-|||
1410745951596855296|消费|25500|0|2021-07-02 07:43:48|21070283019251659|25500|122104500001035511|102|0|0|0|||||||微信支付|o2mUlw****twtY|-|||
1410746527076323328|消费|44500|0|2021-07-02 07:46:07|21070283156259197|44500|122104500001035512|178|0|0|0|||||||微信支付|o2mUlw****Pn4w|-|||
1410746551235514368|消费|69800|0|2021-07-02 07:46:08|21070283162257105|69800|122104500001035513|279|0|0|0|||||||微信支付|o2mUlw****kvzs|-|||
1410746707397844992|消费|302300|0|2021-07-02 07:46:45|21070283199256138|302300|122104500001035514|1209|0|0|0|||||||微信支付|o2mUlw****5z4M|-|||
